stem,oracle,n_gt,error_T0,utility_T0,fp_T0,fn_T0,tp_T0,error_T4,utility_T4,fp_T4,fn_T4,tp_T4,t4_harms,t4_helps
Marseille_Cam1_16_23_22_10_11_2020.mp4_00712.jpg_Cam1_16_23_22_10_11_2020.mp4_00712,T0,1,0.05580510704191238,0.9441948929580877,0,0,1,0.07675012371071344,0.8732498762892865,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00713.jpg_Cam1_16_23_22_10_11_2020.mp4_00713,T0,1,0.03442044764456427,0.9655795523554357,0,0,1,0.033064059176161384,0.9169359408238386,0,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00727.jpg_Cam1_16_23_22_10_11_2020.mp4_00727,T0,1,0.09110576700887334,0.9088942329911267,0,0,1,0.08182051820086328,0.8681794817991366,0,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00735.jpg_Cam1_16_23_22_10_11_2020.mp4_00735,T0,1,0.5311856885905784,0.46881431140942165,1,0,1,0.5230690425789419,0.4269309574210581,1,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00748.jpg_Cam1_16_23_22_10_11_2020.mp4_00748,T0,2,0.07657054647145765,0.9234294535285423,0,0,2,0.0610457841994842,0.8889542158005157,0,0,2,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00760.jpg_Cam1_16_23_22_10_11_2020.mp4_00760,T0,2,0.07155690782564927,0.9284430921743507,0,0,2,0.07796039165052067,0.8720396083494792,0,0,2,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00764.jpg_Cam1_16_23_22_10_11_2020.mp4_00764,T0,2,0.04596821041358464,0.9540317895864153,0,0,2,0.034880530985325134,0.9151194690146748,0,0,2,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00774.jpg_Cam1_16_23_22_10_11_2020.mp4_00774,T0,2,0.035625998535857656,0.9643740014641423,0,0,2,0.02947413135367588,0.920525868646324,0,0,2,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00783.jpg_Cam1_16_23_22_10_11_2020.mp4_00783,T0,2,0.03762186397638316,0.9623781360236169,0,0,2,0.040740612030830105,0.9092593879691698,0,0,2,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00788.jpg_Cam1_16_23_22_10_11_2020.mp4_00788,T0,2,0.04726360160279529,0.9527363983972047,0,0,2,0.06000984180175404,0.8899901581982459,0,0,2,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00804.jpg_Cam1_16_23_22_10_11_2020.mp4_00804,T0,2,0.08583792640687883,0.9141620735931212,0,0,2,0.07847642643805659,0.8715235735619433,0,0,2,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00808.jpg_Cam1_16_23_22_10_11_2020.mp4_00808,T0,2,0.14102834174014228,0.8589716582598577,0,0,2,0.11371999158465532,0.8362800084153447,0,0,2,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00811.jpg_Cam1_16_23_22_10_11_2020.mp4_00811,T0,2,0.10209267655519004,0.89790732344481,0,0,2,0.08899072933049473,0.8610092706695052,0,0,2,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00830.jpg_Cam1_16_23_22_10_11_2020.mp4_00830,T0,4,0.3067516974598539,0.6932483025401461,0,1,3,0.3087915540870769,0.641208445912923,0,1,3,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00835.jpg_Cam1_16_23_22_10_11_2020.mp4_00835,T0,3,0.09892913780801317,0.9010708621919868,0,0,3,0.10982116914400046,0.8401788308559995,0,0,3,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00840.jpg_Cam1_16_23_22_10_11_2020.mp4_00840,T0,3,0.08341035102751919,0.9165896489724809,0,0,3,0.10587820694231755,0.8441217930576824,0,0,3,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00841.jpg_Cam1_16_23_22_10_11_2020.mp4_00841,T0,3,0.083251467946542,0.916748532053458,0,0,3,0.10197409255271592,0.848025907447284,0,0,3,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00842.jpg_Cam1_16_23_22_10_11_2020.mp4_00842,T0,4,0.31661378993954187,0.6833862100604582,0,1,3,0.32650044665800404,0.6234995533419959,0,1,3,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00845.jpg_Cam1_16_23_22_10_11_2020.mp4_00845,T0,3,0.11121022174224783,0.8887897782577522,0,0,3,0.09932341610796488,0.850676583892035,0,0,3,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_00853.jpg_Cam1_16_23_22_10_11_2020.mp4_00853,T0,1,0.1993289060521669,0.8006710939478331,0,0,1,0.2134666014201908,0.7365333985798092,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00862.jpg_Cam1_16_23_22_10_11_2020.mp4_00862,T0,1,0.20870046670835352,0.7912995332916465,0,0,1,0.23858108400274672,0.7114189159972533,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00993.jpg_Cam1_16_23_22_10_11_2020.mp4_00993,T0,1,0.10829686976745483,0.8917031302325452,0,0,1,0.14679800500214776,0.8032019949978522,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00994.jpg_Cam1_16_23_22_10_11_2020.mp4_00994,T0,1,0.1529746454427746,0.8470253545572254,0,0,1,0.1605759810922146,0.7894240189077854,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_00997.jpg_Cam1_16_23_22_10_11_2020.mp4_00997,T0,1,0.06779069039060394,0.9322093096093961,0,0,1,0.06193049875713406,0.8880695012428659,0,0,1,0,1
